file,sound_id,format,declared_sample_rate_hz,channels,declared_samples,duration_seconds,bytes
sound_174.mp3,174,MP3,22050,1,24201,1.098,6110
sound_175.mp3,175,MP3,44100,1,17408,0.395,4698
sound_184.mp3,184,MP3,11025,1,9053,0.821,2600
sound_192.mp3,192,MP3,22050,1,94718,4.296,21970
sound_193.mp3,193,MP3,22050,1,13173,0.597,3380
sound_539.mp3,539,MP3,44100,1,13323,0.302,3120
sound_540.mp3,540,MP3,44100,1,33024,0.749,6656
sound_541.mp3,541,MP3,44100,1,13909,0.315,3120
sound_542.mp3,542,MP3,44100,1,63984,1.451,12272
sound_543.mp3,543,MP3,44100,1,253983,5.759,46384
sound_544.mp3,544,MP3,44100,1,128716,2.919,23920
sound_545.mp3,545,MP3,44100,1,109267,2.478,20384
sound_546.mp3,546,MP3,44100,1,39529,0.896,7696
sound_547.mp3,547,MP3,44100,1,38361,0.870,7488
sound_548.mp3,548,MP3,44100,1,26061,0.591,6786
sound_549.mp3,549,MP3,44100,1,9106,0.206,2288
sound_550.mp3,550,MP3,44100,1,44471,1.008,8736
sound_551.mp3,551,MP3,44100,1,72676,1.648,13728
sound_552.mp3,552,MP3,44100,1,5617,0.127,1664
sound_553.mp3,553,MP3,44100,1,13001,0.295,2912
sound_554.mp3,554,MP3,44100,1,3226,0.073,1248
sound_555.mp3,555,MP3,44100,1,7328,0.166,1872
sound_556.mp3,556,MP3,44100,1,43275,0.981,8528
sound_557.mp3,557,MP3,44100,1,10191,0.231,2496
sound_558.mp3,558,MP3,44100,1,25638,0.581,5200
sound_559.mp3,559,MP3,44100,1,31514,0.715,6240
sound_560.mp3,560,MP3,44100,1,34396,0.780,6864
sound_561.mp3,561,MP3,44100,1,54434,1.234,10400
sound_562.mp3,562,MP3,44100,1,11806,0.268,2704
sound_563.mp3,563,MP3,22050,2,80671,3.659,22620
sound_564.mp3,564,MP3,22050,1,2082,0.094,1040
